15/09/2025,"-82.00",L/LAND QLD    2253        BUNDABERG,,,,,
15/09/2025,"-40.30",Hungry Jacks              Maryborough,,,,,
15/09/2025,"-40.40",SQ *RICK?S ARTISAN PIES & Noosavilla,,,,,
15/09/2025,"-4.90",SOUL ORIGIN               BROADBEACH,,,,,
15/09/2025,"-17.26",MCEWEN PTY LTD            MIAMI,,,,,
15/09/2025,"-12.18",MCEWEN PTY LTD            MIAMI,,,,,
15/09/2025,"-59.58",NOODLE BAR                Broadbeach,,,,,
15/09/2025,"-21.55",WOOLWORTHS/HOOKER BLVD    PACIFIC FAIR,,,,,
15/09/2025,"-139.98",CBeach Pac Fair           Broadbeach,,,,,
15/09/2025,"-229.60",Uniqlo Pacific Fair       Broadbeach,,,,,
15/09/2025,"-113.45",CITYSURF PTY LTD          BURLEIGH WATE,,,,,
15/09/2025,"-22.12",SMP*Hero Sushi Robina     Robina,,,,,
15/09/2025,"-12.50",JB HI FI ROBINA HOME      ROBINA,,,,,
15/09/2025,"-69.99",7301 BILLABONG BURLEIG    BURLEIGH HEAD,,,,,
15/09/2025,"-7.99",RIP CURL PROPRIETARY L    ROBINA,,,,,
15/09/2025,"-144.98",RIP CURL PROPRIETARY L    ROBINA,,,,,
15/09/2025,"-869.98",POST ROBINA POST SHOP     ROBINA,,,,,
15/09/2025,"-101.26",WOOLWORTHS/ROBINA TOWN CE ROBINA,,,,,
15/09/2025,"-20.54",ALDI STORES               VARSITY LAKES,,,,,
15/09/2025,"-13.80",THE COFFEE CLUB ARRIVALS  BRISBANE AIRP,,,,,
15/09/2025,"-13.09",THE COFFEE CLUB ARRIVALS  BRISBANE AIRP,,,,,
12/09/2025,"-95.00",L/LAND QLD    2267        VARSITY LAKES,,,,,
12/09/2025,"-99.74",LOTTE TR BRISBANE AI      EAGLE FARM,,,,,
10/09/2025,"-23.18",CFF Gare Geneve           Geneve  12.00  CHF,,,,,
10/09/2025,"-472.99",CUMBERLAND CHARTER        AIRLIE BEACH,,,,,
15/08/2025,"-2.01",Migros MMM Balexert       Geneve  1.05  CHF,,,,,
15/08/2025,"-107.24",Metro Boutique Geneve     Geneve 1  56.00  CHF,,,,,
15/08/2025,"-1.53",Migros Parking Balexert S Geneve 28  .80  CHF,,,,,
15/08/2025,"-12.45",Migros Parking Balexert S Geneve 28  6.50  CHF,,,,,
15/08/2025,"-164.30",H & M                     Geneve  85.80  CHF,,,,,
15/08/2025,"-35.33",Migros MMM Balexert       Geneve  18.45  CHF,,,,,
15/08/2025,"-11.68",Migros MMM Balexert       Geneve  6.10  CHF,,,,,
15/08/2025,"-114.51",ITX Retail Suisse Sarl  1 Geneve 1  59.80  CHF,,,,,
15/08/2025,"-88.09",ITX Retail Suisse Sarl  1 Geneve  46.00  CHF,,,,,
12/08/2025,"1013.43",PAYMENT THANKYOU 270643,,,,,
21/07/2025,"-800.00",DFAT AUSTRALIA            SYDNEY,,,,,
18/07/2025,"-40.41",IKEA SA Vernier 918       Vernier  20.90  CHF,,,,,

